iter	Logloss	Accuracy
618	0.2116956009	0.9078042068
619	0.2116584608	0.907848884
620	0.2116269684	0.9078578194
621	0.2115980999	0.9078667548
622	0.211562641	0.9078220777
623	0.2115195804	0.9078667548
624	0.211483462	0.9079203674
625	0.2114514629	0.9080186572
626	0.2114097767	0.9080454635
627	0.2113389641	0.9080633343
628	0.2113163136	0.9081348178
629	0.211279235	0.9082152367
630	0.2112233342	0.9083313973
631	0.2111706584	0.9083313973
632	0.2111313436	0.9084296871
633	0.2110963324	0.9084475579
634	0.2110539734	0.9085458477
635	0.2109952102	0.9085905249
636	0.21097552	0.9085547831
637	0.2109413244	0.9085994603
638	0.210900025	0.9085905249
639	0.2108628454	0.9086262666
640	0.2108298485	0.9086441375
641	0.2107979664	0.908635202
642	0.2107591484	0.9087245564
643	0.2107250957	0.9087334918
644	0.2106920391	0.9087156209
645	0.2106646907	0.9086709438
646	0.2106218743	0.9086441375
647	0.2105817462	0.9086888146
648	0.2105259117	0.9087156209
649	0.2104761333	0.9087424272
650	0.2104442125	0.9086977501
651	0.2104010358	0.9087602981
652	0.210353365	0.9087692335
653	0.2103104699	0.9088228461
654	0.2102853492	0.9088764587
655	0.210236932	0.9089568776
656	0.2101878318	0.9090104902
657	0.2101251351	0.9089747485
658	0.210095392	0.9089926193
659	0.2100642902	0.90910878
660	0.2100294634	0.9090641028
661	0.2100036141	0.9090641028
662	0.2099454885	0.9090641028
663	0.2098843177	0.9090998445
664	0.2098498148	0.9090730382
665	0.2098171534	0.9090551674
666	0.2097922122	0.9090641028
667	0.2097641589	0.9091445217
668	0.2097510684	0.90910878
669	0.2097133236	0.9091623926
670	0.2096769289	0.9092249406
671	0.2096572391	0.9092070697
672	0.2096224788	0.9092249406
673	0.2095872917	0.9092428114
674	0.209540944	0.9092517469
675	0.2095147128	0.9092785532
676	0.20949175	0.9092696177
677	0.2094729483	0.9092874886
678	0.2094384695	0.9094036492
679	0.2093681711	0.9094751327
680	0.209331664	0.9095823579
681	0.2092937887	0.909564487
682	0.2092647611	0.9096538413
683	0.2092141898	0.9096627768
684	0.2091659209	0.9097253248
685	0.209123494	0.9097431957
686	0.2090979871	0.9097253248
687	0.2090728748	0.9097789374
688	0.2090267896	0.9097878728
689	0.2089809155	0.9097968083
690	0.2089462967	0.9097342602
691	0.2089245383	0.9097968083
