iter	Passed	Remaining
824	11841	2511
825	11857	2497
826	11880	2485
827	11902	2472
828	11915	2457
829	11928	2443
830	11941	2428
831	11954	2413
832	11966	2399
833	12019	2392
834	12040	2379
835	12058	2365
836	12071	2350
837	12082	2335
838	12095	2321
839	12107	2306
840	12118	2291
841	12131	2276
842	12144	2261
843	12156	2246
844	12169	2232
845	12180	2217
846	12191	2202
847	12204	2187
848	12216	2172
849	12227	2157
850	12240	2143
851	12251	2128
852	12263	2113
853	12275	2098
854	12288	2084
855	12300	2069
856	12311	2054
857	12323	2039
858	12335	2024
859	12347	2009
860	12359	1995
861	12372	1980
862	12384	1966
863	12398	1951
864	12411	1937
865	12436	1924
866	12465	1912
867	12489	1899
868	12512	1886
869	12527	1871
870	12541	1857
871	12554	1842
872	12569	1828
873	12582	1814
874	12604	1800
875	12623	1786
876	12642	1773
877	12656	1758
878	12672	1744
879	12686	1730
880	12700	1715
881	12715	1701
882	12730	1686
883	12743	1672
884	12757	1657
885	12769	1643
886	12784	1628
887	12796	1614
888	12809	1599
889	12822	1584
890	12834	1570
891	12845	1555
892	12856	1540
893	12868	1525
894	12880	1511
895	12893	1496
896	12906	1482
897	12919	1467
898	12931	1452
899	12945	1438
900	12959	1423
901	12972	1409
902	12994	1395
903	13052	1386
904	13073	1372
905	13087	1357
906	13100	1343
907	13112	1328
908	13127	1314
909	13147	1300
910	13160	1285
911	13174	1271
912	13186	1256
913	13199	1241
914	13210	1227
915	13223	1212
916	13236	1198
917	13249	1183
918	13262	1168
919	13274	1154
920	13288	1139
921	13301	1125
922	13317	1111
923	13339	1097
924	13355	1082
925	13368	1068
926	13382	1053
927	13395	1039
928	13408	1024
929	13421	1010
930	13433	995
931	13446	981
932	13469	967
933	13492	953
934	13515	939
935	13529	925
936	13542	910
937	13556	896
938	13569	881
939	13582	866
940	13594	852
941	13607	837
942	13619	823
943	13634	808
944	13649	794
945	13663	779
946	13677	765
947	13692	751
948	13706	736
949	13721	722
950	13736	707
951	13747	693
952	13761	678
953	13775	664
954	13788	649
955	13802	635
956	13813	620
957	13828	606
958	13842	591
959	13856	577
960	13871	562
961	13885	548
962	13900	534
963	13912	519
964	13925	505
