iter	Passed	Remaining
943	20713	1228
944	20733	1206
945	20751	1184
946	20770	1162
947	20786	1140
948	20805	1118
949	20825	1096
950	20856	1074
951	20906	1054
952	20980	1034
953	21001	1012
954	21016	990
955	21042	968
956	21061	946
957	21075	923
958	21091	901
959	21110	879
960	21129	857
961	21149	835
962	21169	813
963	21189	791
964	21208	769
965	21228	747
966	21244	724
967	21259	702
968	21273	680
969	21289	658
970	21309	636
971	21328	614
972	21347	592
973	21367	570
974	21386	548
975	21421	526
976	21483	505
977	21503	483
978	21522	461
979	21542	439
980	21562	417
981	21582	395
982	21601	373
983	21622	351
984	21642	329
985	21662	307
986	21677	285
987	21696	263
988	21716	241
989	21737	219
990	21759	197
991	21779	175
992	21796	153
993	21814	131
994	21830	109
995	21845	87
996	21860	65
997	21908	43
998	21941	21
999	21962	0
